"Name","FolderPath"
"Inbox","\\junison9@gmail.com\Inbox"
"McAfee Anti-Spam","\\junison9@gmail.com\Inbox\McAfee Anti-Spam"
"Outbox","\\junison9@gmail.com\Outbox"
"Calendar (This computer only)","\\junison9@gmail.com\Calendar (This computer only)"
"Contacts (This computer only)","\\junison9@gmail.com\Contacts (This computer only)"
"Sync Issues (This computer only)","\\junison9@gmail.com\Sync Issues (This computer only)"
"Local Failures (This computer only)","\\junison9@gmail.com\Sync Issues (This computer only)\Local Failures (This computer only)"
"Journal (This computer only)","\\junison9@gmail.com\Journal (This computer only)"
"Notes (This computer only)","\\junison9@gmail.com\Notes (This computer only)"
"Tasks (This computer only)","\\junison9@gmail.com\Tasks (This computer only)"
"RSS Feeds","\\junison9@gmail.com\RSS Feeds"
"Conversation Action Settings (This computer only)","\\junison9@gmail.com\Conversation Action Settings (This computer only)"
"Quick Step Settings (This computer only)","\\junison9@gmail.com\Quick Step Settings (This computer only)"
"[Gmail]","\\junison9@gmail.com\[Gmail]"
"ADT","\\junison9@gmail.com\[Gmail]\ADT"
"Aaron Smith","\\junison9@gmail.com\[Gmail]\Aaron Smith"
"ACLJ","\\junison9@gmail.com\[Gmail]\ACLJ"
"Adobe Acrobat","\\junison9@gmail.com\[Gmail]\Adobe Acrobat"
"ADP","\\junison9@gmail.com\[Gmail]\ADP"
"AMAC","\\junison9@gmail.com\[Gmail]\AMAC"
"Amazon","\\junison9@gmail.com\[Gmail]\Amazon"
"Mark Hyman MD","\\junison9@gmail.com\[Gmail]\Amazon\Mark Hyman MD"
"Assian Efficiency","\\junison9@gmail.com\[Gmail]\Assian Efficiency"
"AT&T","\\junison9@gmail.com\[Gmail]\AT&T"
"Audible","\\junison9@gmail.com\[Gmail]\Audible"
"AutoInsurance","\\junison9@gmail.com\[Gmail]\AutoInsurance"
"Best Buy","\\junison9@gmail.com\[Gmail]\Best Buy"
"BevMo!","\\junison9@gmail.com\[Gmail]\BevMo!"
"Birdland","\\junison9@gmail.com\[Gmail]\Birdland"
"Black Bag Confidential","\\junison9@gmail.com\[Gmail]\Black Bag Confidential"
"Blazer","\\junison9@gmail.com\[Gmail]\Blazer"
"Blinkist","\\junison9@gmail.com\[Gmail]\Blinkist"
"BlueVine","\\junison9@gmail.com\[Gmail]\BlueVine"
"Boot Barn","\\junison9@gmail.com\[Gmail]\Boot Barn"
"Bosch","\\junison9@gmail.com\[Gmail]\Bosch"
"Build.com","\\junison9@gmail.com\[Gmail]\Build.com"
"Byron Katie Newsletter","\\junison9@gmail.com\[Gmail]\Byron Katie Newsletter"
"CalCoast","\\junison9@gmail.com\[Gmail]\CalCoast"
"Caliber Contests","\\junison9@gmail.com\[Gmail]\Caliber Contests"
"Celtic Woman","\\junison9@gmail.com\[Gmail]\Celtic Woman"
"Chase","\\junison9@gmail.com\[Gmail]\Chase"
"Chipotle","\\junison9@gmail.com\[Gmail]\Chipotle"
"ChooseYourMortgage","\\junison9@gmail.com\[Gmail]\ChooseYourMortgage"
"CHW","\\junison9@gmail.com\[Gmail]\CHW"
"Concerned Patriot","\\junison9@gmail.com\[Gmail]\Concerned Patriot"
"Cool Material","\\junison9@gmail.com\[Gmail]\Cool Material"
"Costco","\\junison9@gmail.com\[Gmail]\Costco"
"Craigslist","\\junison9@gmail.com\[Gmail]\Craigslist"
"CrossBreed Holsters","\\junison9@gmail.com\[Gmail]\CrossBreed Holsters"
"CVS","\\junison9@gmail.com\[Gmail]\CVS"
"Darren Hardy","\\junison9@gmail.com\[Gmail]\Darren Hardy"
"Deanna","\\junison9@gmail.com\[Gmail]\Deanna"
"Deidox Films","\\junison9@gmail.com\[Gmail]\Deidox Films"
"DIB","\\junison9@gmail.com\[Gmail]\DIB"
"Directions","\\junison9@gmail.com\[Gmail]\Directions"
"DR Power Equipment","\\junison9@gmail.com\[Gmail]\DR Power Equipment"
"Dr. Ari Magill","\\junison9@gmail.com\[Gmail]\Dr. Ari Magill"
"Dr. Badalyan","\\junison9@gmail.com\[Gmail]\Dr. Badalyan"
"DVOR","\\junison9@gmail.com\[Gmail]\DVOR"
"Ebay","\\junison9@gmail.com\[Gmail]\Ebay"
"Efile4Biz.com","\\junison9@gmail.com\[Gmail]\Efile4Biz.com"
"El Pollo Loco","\\junison9@gmail.com\[Gmail]\El Pollo Loco"
"Elevator","\\junison9@gmail.com\[Gmail]\Elevator"
"EntreLeadership","\\junison9@gmail.com\[Gmail]\EntreLeadership"
"Erie Roofs","\\junison9@gmail.com\[Gmail]\Erie Roofs"
"Evernote","\\junison9@gmail.com\[Gmail]\Evernote"
"Facebook","\\junison9@gmail.com\[Gmail]\Facebook"
"Fair Trade Decor","\\junison9@gmail.com\[Gmail]\Fair Trade Decor"
"Fenix Ammunition","\\junison9@gmail.com\[Gmail]\Fenix Ammunition"
"Firearm Upgrades","\\junison9@gmail.com\[Gmail]\Firearm Upgrades"
"Firearms Policy Coalition","\\junison9@gmail.com\[Gmail]\Firearms Policy Coalition"
"Frank Menjivar","\\junison9@gmail.com\[Gmail]\Frank Menjivar"
"Frezzor","\\junison9@gmail.com\[Gmail]\Frezzor"
"Google","\\junison9@gmail.com\[Gmail]\Google"
"GTD","\\junison9@gmail.com\[Gmail]\GTD"
"Gun News USA","\\junison9@gmail.com\[Gmail]\Gun News USA"
"Harbor Freight","\\junison9@gmail.com\[Gmail]\Harbor Freight"
"Hirsch","\\junison9@gmail.com\[Gmail]\Hirsch"
"Home Depot","\\junison9@gmail.com\[Gmail]\Home Depot"
"LA Daily News","\\junison9@gmail.com\[Gmail]\Home Depot\LA Daily News"
"IAPMO","\\junison9@gmail.com\[Gmail]\IAPMO"
"Important","\\junison9@gmail.com\[Gmail]\Important"
"InsanelyCoolGifts","\\junison9@gmail.com\[Gmail]\InsanelyCoolGifts"
"Instagram","\\junison9@gmail.com\[Gmail]\Instagram"
"Intuit","\\junison9@gmail.com\[Gmail]\Intuit"
"Janet R. Schwartz","\\junison9@gmail.com\[Gmail]\Janet R. Schwartz"
"Jason Hanson","\\junison9@gmail.com\[Gmail]\Jason Hanson"
"Jay Sekulow","\\junison9@gmail.com\[Gmail]\Jay Sekulow"
"Jeff Lerner","\\junison9@gmail.com\[Gmail]\Jeff Lerner"
"Jeff Nagle to Self","\\junison9@gmail.com\[Gmail]\Jeff Nagle to Self"
